,pessoa_id,idade,renda,situacao_moradia,tempo_trabalhado,emprestimo_id,motivo_emprestimo,score,valor_emprestimo,taxa_juros,inadimplente,razao_renda_emprestimo,historico_id,tempo_historico_credito,devedor
0,fkfIoptZ-A326,28,43200,Aluguel,1,yfJPrTf9-NWIL,Médico,6,3000,7.49,0,0.07,Z8qWsbRJ-Oz9s,9,0
1,lTFAuz4n-XAQG,26,38340,Hipotecada,7,bwuJCFyH-B9Ly,Pessoal,5,2500,12.18,1,0.07,Av4HE39F-sdM7,4,0
2,fKl19XPm-0vET,38,17108,Hipotecada,7,zNPb9fWx-eZIT,Educação,6,4375,7.51,1,0.26,KTgskvaR-FZ7D,17,0
3,5LOKAMjf-t6If,26,80000,Aluguel,0,ROe9TPsc-cXdB,Melhoramento do lar,6,8000,5.99,0,0.1,JqhzcWky-zue8,2,0
4,38nOqzsC-N23U,28,81972,Aluguel,4,m2h3XADe-rAWf,Quitação de dividas,5,18000,10.99,0,0.22,YzMA2Ysl-lQH6,6,0
5,Y5aWA1Cj-Sjvx,23,80000,Própria,7,PTQRPWPU-uwrZ,Pessoal,5,9000,9.62,0,0.11,FlqM2A9s-jY5W,2,0
6,J11ES0Ry-hgQj,31,78000,Aluguel,1,WEldH3II-60gx,Educação,6,14000,9.63,0,0.18,CexFF6dj-NmOk,5,0
7,DP9rySti-Bxfc,29,45324,Hipotecada,4,KMCOZUXF-2PgR,Pessoal,3,15150,14.54,0,0.33,quiXRl9T-Yqrk,10,0
9,TDWa1Bbb-AekR,26,36000,Aluguel,5,wWctZbGH-D63Y,Médico,5,8550,10.25,1,0.24,qt6jW6Eb-dJ8v,2,0
10,6doDvOub-46nc,26,105000,Hipotecada,9,7qnmzpNp-IBbB,Negócio,5,12000,10.99,0,0.11,yEwKtnal-JUqg,2,0
11,7Jh0h7Cx-OshR,22,50000,Própria,3,8E68UraH-hnGX,Educação,6,5000,7.29,0,0.1,Y47z1aDd-Ziw1,4,0
12,pXiJUD4P-UrZm,30,57000,Hipotecada,2,eQeJIQaN-mpyW,Negócio,6,6000,7.51,0,0.11,7f0xRW9K-zhXY,8,0
13,JxCz24oq-iSbh,26,120000,Aluguel,11,QJpdYK4m-cbDw,Melhoramento do lar,4,10000,12.68,0,0.08,mGR46RER-d7Iq,2,0
14,zC8NjZtl-C0i1,40,40000,Própria,12,DJ7MADew-aWnd,Médico,5,13750,8.88,0,0.34,1a5HlocQ-Rk0y,14,0
15,85qS4tWk-EAun,23,54000,Hipotecada,2,doFKaqOW-2siR,Negócio,6,7000,6.62,0,0.13,PYFqvd7K-eScC,3,0
16,mpfjpS76-GpMH,23,80000,Aluguel,6,U3GtqMpT-D0SF,Negócio,6,6500,7.51,0,0.08,lusooYZf-PCbH,3,0
17,PxMPknrd-Hf2u,28,39000,Aluguel,3,IbJrHXGG-EOGU,Negócio,5,5000,10.25,0,0.13,LYGM6nP4-41vf,10,0
19,jAb41JoC-krZf,29,89004,Hipotecada,2,ImoqHxST-v4TE,Educação,3,4800,14.11,0,0.05,IPzh6S8O-K4FO,8,1
20,bW94TAkx-qFgb,26,74000,Hipotecada,4,cyt7YkIR-rYvv,Educação,5,7500,10.08,1,0.1,34HRvIBC-Bcwq,4,0
21,WjRdK1P5-jMah,22,88620,Hipotecada,6,katg4FoK-G4T9,Quitação de dividas,6,24000,6.62,0,0.27,FcLjTmbQ-nSKe,3,0
22,SAEUImFs-iXAT,35,50000,Hipotecada,5,6bKNACAB-up1b,Melhoramento do lar,4,6000,13.49,0,0.12,45kngxnO-kwyt,6,0
23,GF79eYM4-xcMP,22,32000,Aluguel,1,UJDU4wt1-yGWW,Educação,3,5400,16.29,1,0.17,DOMft98J-Z3qm,2,1
24,ESqNy2EU-a4u3,23,30000,Aluguel,0,vKrwKFDw-3phm,Pessoal,5,1925,12.18,0,0.06,hcbwORYq-XDJy,2,0
25,kQkn9IhK-fNSo,26,60000,Hipotecada,8,BCvJBsgs-cI39,Melhoramento do lar,5,12000,10.65,0,0.2,KNg2U3yz-bKi3,2,0
26,78MwsdQX-Zu0S,32,62000,Hipotecada,3,Mo7Oz38v-fgUE,Educação,5,20000,11.36,0,0.32,upUjcHuu-UgLw,9,0
27,YRDl8sMa-c78g,22,66000,Aluguel,3,9jUfZbRw-Ezba,Quitação de dividas,3,20000,14.42,1,0.3,rRY6aYws-GC69,2,0
28,EtWcObc2-aKNM,29,48000,Aluguel,2,ogbrgb5F-avnr,Pessoal,5,15000,11.36,1,0.31,YLvM6cHD-ERnb,8,0
29,3L0l89vv-iB5t,25,76700,Hipotecada,1,aFkFYEds-CRiY,Negócio,2,14800,19.42,0,0.19,CeAteCEb-UAPy,4,1
30,k6PFhK7p-NWQE,26,80000,Hipotecada,10,vFLl1cpY-kuCo,Pessoal,5,25000,10.62,0,0.31,6KzjLwxH-8yRF,4,0
31,ectzteM8-ytwt,21,55000,Hipotecada,5,JiMUDk43-GyCB,Educação,6,10500,7.51,0,0.19,LWtEME1J-HA04,3,0
32,0AeYhoxq-8yCK,24,40944,Aluguel,0,7gjK8OfR-e6KH,Médico,5,8200,11.36,0,0.2,2vTd45tS-v1sp,4,0
33,BmqWi2a8-MCqb,26,120000,Hipotecada,10,YE9jXKCy-Y7Ak,Melhoramento do lar,3,10000,14.59,0,0.08,Q1xlxgUf-O9M7,2,1
34,YgZhwN7W-QXry,22,48000,Aluguel,2,QkKyU4Q5-aAhz,Quitação de dividas,6,9000,7.88,0,0.19,d1MthkRf-8j00,2,0
35,rnZWWxtN-IEXq,22,45000,Hipotecada,6,sCL4As5B-83Io,Negócio,6,7000,8.94,0,0.16,Cugoqqs8-fdlJ,3,0
36,2oI8vhlB-B58Y,23,32388,Hipotecada,0,UujE5LBm-hstO,Educação,5,6000,10.71,0,0.19,ESEMqB6u-b3bq,4,0
37,RD3xtZeW-HvPD,35,38000,Hipotecada,2,LtveDAb2-vDTU,Médico,5,15000,10.99,0,0.39,yz6yTGDZ-dvA1,5,0
38,ir0c0W8h-Lijw,22,24000,Aluguel,0,fAn0avPb-rcwf,Quitação de dividas,4,5200,13.49,0,0.22,Y0rD9n2C-D95v,2,1
39,o6mELtk2-D6w8,36,24000,Hipotecada,2,o4P4s9g8-zrLp,Quitação de dividas,6,1500,9.63,0,0.06,a2Yd1SZQ-zF8G,16,0
40,sCv13Rhg-WlKU,22,48000,Hipotecada,6,uu5RJimM-8Taf,Quitação de dividas,6,4400,5.99,0,0.09,mHIJ1tBT-aqCK,3,0
41,SieRZej2-JrNv,22,132000,Hipotecada,3,tzPtIlK7-hKun,Médico,6,10000,7.66,0,0.08,K9y5yX8a-i5pg,2,0
42,7zI1PPAJ-Bj6O,22,18984,Aluguel,6,SYxUFinv-HEwg,Melhoramento do lar,4,2500,14.22,1,0.13,UGhtLzvX-CFK0,2,1
43,RSQpYv0W-D6Oo,24,12600,Aluguel,2,PDpdl2hQ-Sszr,Negócio,4,2500,13.11,1,0.2,oZ2iPvfD-HdIo,2,1
44,y5IktnA2-Ngje,22,105000,Hipotecada,6,CPiXphjf-fwZn,Quitação de dividas,5,12800,11.83,0,0.12,T0QAjOzy-57ag,3,0
45,YdX4l0sJ-LZMG,25,52000,Aluguel,9,MaFZDHnY-Hda6,Médico,4,17000,12.98,1,0.33,c8lW87wM-GMhY,2,1
46,siaJTjgv-Sxs4,23,54000,Aluguel,8,JxAjPXc3-bRNq,Negócio,5,12000,11.36,0,0.22,zTwRuOoX-noNx,2,0
47,dWGtXZy6-3ci7,26,75000,Própria,10,kxiFLYlb-1au1,Negócio,5,7000,10.59,0,0.09,D2Z92Rbl-5deo,4,0
48,YD73uWZc-c3tY,26,47000,Aluguel,0,nPB4OIPJ-LaTR,Pessoal,5,8000,10.0,0,0.17,LyitpDIr-YNtm,4,0
49,1yiiuvWp-QWex,55,54000,Aluguel,4,vbrg5URv-zgBR,Quitação de dividas,4,1000,13.99,1,0.02,gWlpPDug-TqxY,27,0
50,3IUXWl9k-zZBI,34,60000,Aluguel,0,ttJ8KxwC-rjfe,Educação,4,12000,12.22,0,0.2,r5smB5sd-MkUA,7,1
51,dMi1zv3m-Agoo,23,45000,Aluguel,4,F17PPq9A-beYa,Educação,6,9000,5.99,0,0.2,JQFujnlq-dvke,3,0
52,LcyCTCWU-5pJX,25,39000,Aluguel,9,8H01XPY1-Yoqw,Negócio,3,15200,16.0,1,0.39,RCktzCz7-PpKe,3,0
53,bI3gbmDA-3w0o,35,45000,Hipotecada,5,lgngeyAl-xuxq,Negócio,6,6000,6.99,0,0.13,vcH1UhmD-H5bN,9,0
54,RsTyRRcX-8T7e,27,67200,Aluguel,0,TOvAB8HL-t6AL,Pessoal,6,8000,6.03,0,0.12,vUzxBLkO-uHhl,5,0
55,aTkoyYgH-AbPe,22,63000,Hipotecada,2,UrOH8s3g-mUcK,Educação,6,14100,8.0,0,0.22,GD2HPv6e-IcIs,2,0
56,0mg5QCvx-Xuza,21,27996,Hipotecada,5,Q5ax8QZv-4qmA,Educação,6,10000,9.63,0,0.36,GmeWoilv-AyW5,4,0
